S.N.,first_name,last_name,address_city,address_state,mobile_number,email,date_of_birth
2,Hari,Prasad,Palungtar,Gandaki,8976541230,hari@hari.com,2022-08-10
13,Hello,World,Gorkha,Nepal,9877891234,hello@world.com,2022-10-01
3,himalayan1,sanjeev1,Rainas1,Gandaki1,9800000001,h.sanjeev1@gmail.com,2021-10-14
12,himalayan10,sanjeev10,Rainas10,Gandaki10,98000000010,h.sanjeev10@gmail.com,2012-10-14
4,himalayan2,sanjeev2,Rainas2,Gandaki2,9800000002,h.sanjeev2@gmail.com,2020-10-14
5,himalayan3,sanjeev3,Rainas3,Gandaki3,9800000003,h.sanjeev3@gmail.com,2019-10-14
6,himalayan4,sanjeev4,Rainas4,Gandaki4,9800000004,h.sanjeev4@gmail.com,2018-10-14
7,himalayan5,sanjeev5,Rainas5,Gandaki5,9800000005,h.sanjeev5@gmail.com,2017-10-14
8,himalayan6,sanjeev6,Rainas6,Gandaki6,9800000006,h.sanjeev6@gmail.com,2016-10-14
9,himalayan7,sanjeev7,Rainas7,Gandaki7,9800000007,h.sanjeev7@gmail.com,2015-10-14
10,himalayan8,sanjeev8,Rainas8,Gandaki8,9800000008,h.sanjeev8@gmail.com,2014-10-14
11,himalayan9,sanjeev9,Rainas9,Gandaki9,9800000009,h.sanjeev9@gmail.com,2013-10-14
1,Ram,Bahadur,Rainas,Gandaki,9876543210,ram@bdr.com,2022-10-01
